id,Name,Batch,Sector,Region,Company_Desc,Founding_Date,Founders,Incubator,Location,Source_Url,Company_Url
11,PagerDuty,S10,"DEVOPS, MONITORING",SAN FRANCISCO,"PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle. Their SaaS-based solution empowers over 10,000 small, mid-size and enterprise global customers such as Comcast, eHarmony, Slack and Lululemon with the insight to intelligently respond to critical disruptions for exceptional customer experience. PagerDuty was founded to deliver a new and innovative approach to increase business response and efficiency. When brand reputation depends on customer satisfaction, PagerDuty arms businesses with the insight to proactively manage incidents and events that may impact customers across their IT environment.",,Alex Solomon,Y Combinator,San Francisco,https://www.ycombinator.com/companies/pagerduty,http://pagerduty.com/
12,Pardes Biosciences,S20,"BIOTECH, THERAPEUTICS",SAN FRANCISCO,We make oral drugs to treat and prevent viral infections - like COVID-19.,2020,Uri Lopatin,Y Combinator,San Francisco,https://www.ycombinator.com/companies/pardes-bio,http://www.pardesbio.com/
13,Presto,S10,"FOOD-SERVICE-ROBOTS-&-MACHINES, RESTAURANT-TECH",,"Presto automates big chain restaurants like McDonald's, Starbucks, KFC, Chili's with a combination of Computer Vision, Voice AI, payments and advanced hw/sw solutions. We're obsessed with introducing next-gen tech to advance physical industries and delight consumers.",2008,Rajat Suri,Y Combinator,"San Carlos, CA",https://www.ycombinator.com/companies/presto,http://presto.com/
14,Rigetti Computing,S14,QUANTUM-COMPUTING,BERKELEY,"Rigetti Computing is building the world’s most powerful computers to help solve humanity’s most pressing and important problems. These systems will perform computations that today’s fastest supercomputers are incapable of — unlocking entirely new classes of problems and offering a direct path to solutions. We are scientists, engineers, builders, and visionaries. We believe quantum computing is going to significantly affect health care, how we treat disease, how we generate energy, and how we feed humanity. Rigetti is the only company deploying full-stack solutions for hybrid classical/quantum computing. Our 19-qubit quantum computer is available online through our Forest platform, and the first commercially useful applications are already under exploration.

We were founded in 2013 by Chad Rigetti, and are located Berkeley and Fremont, California.",,Chad Rigetti,Y Combinator,"Berkeley, CA",https://www.ycombinator.com/companies/rigetti-computing,http://rigetti.com/
15,Weave,W14,SAAS,,"As the pace of innovation continues, it is growing more difficult to see the value of technology. Often meaningful information is inaccessible at the time it would be most beneficial. Weave threads together data, software and communication platforms to build stronger relationships at the point of contact by making valuable information instantly available in simple and intuitive formats. This delivers improved productivity, better collaboration and greater insights making it easier to meet the needs of patients and to build better business and clinical outcomes.",2011,Jared Rodman| Clint Berry| Brandon Rodman,Y Combinator,"Lehi, UT",https://www.ycombinator.com/companies/weave,http://getweave.com/
16,Oklo,S14,"SMALL-MODULAR-REACTORS, CLIMATE",SANTA CLARA,"About Oklo Inc.: 

Oklo Inc. (Oklo) is developing advanced fission power plants to provide emission-free, reliable, and affordable energy. 

Oklo received a Site Use Permit from the U.S Department of Energy, has performed successful prototypic fuel fabrication, was awarded fuel material from Idaho National Laboratory, developed the first advanced fission combined license application accepted and docketed by the U.S. Nuclear Regulatory Commission, and is developing advanced fuel recycling technologies in collaboration with the U.S. Department of Energy and national laboratories.

Oklo has been featured in Time, Newsweek, Wall Street Journal, CNBC, Popular Mechanics, Wired, Architectural Digest, Hyperallergic, POWER Magazine, has been the subject of a Harvard Business School case, and is featured in the Oliver Stone documentary Nuclear, among other features.",2013,Caroline Cochran| Jacob DeWitte,Y Combinator,"Santa Clara, CA",https://www.ycombinator.com/companies/oklo,http://oklo.com/
17,Matterport,W12,COMPUTER-VISION,SUNNYVALE,"Matterport is an immersive media technology company that is shaking up the 3D / VR world. Our team has built the first end-to-end system for creating, modifying, distributing, and navigating immersive 3D and virtual reality (VR) versions of real-world spaces on web and mobile devices. Matterport offers the world's most inexpensive and simplest way to capture 3D spaces. 

Our products include:
- Matterport Pro Camera for capturing real spaces in 3D. It collects accurate visual and spatial data to map entire areas in minutes and is all about automation and ease of use.
- The Matterport Cloud for processing and hosting 3D models
- Matterport Portal, our system for viewing, editing, and managing models; collaborating with colleagues; and sharing models with others
- Matterport 3D Showcase, a browser-based 3D media player, which allows anyone to view 3D models in their browser with no additional software
- Matterport Core VR: All Spaces can be converted to VR and experienced on Samsung Gear VR or Google Cardboard (in beta), with additional device support coming soon.

Matterport 3D media solutions power industries from real estate (residential, multi-family and commercial) and travel and hospitality (hotels, vacation rentals, and venue booking), to business listings, architecture, engineering and construction, news and entertainment, and everything in between. 

We’re growing fast. If you’re passionate about solving cutting-edge problems in computer vision and hardware design and creating order-of-magnitude improvements in the ability to easily create and share 3D models of real world spaces, we want to talk to you. See open positions at matterport.com/jobs.

Try Matterport for yourself at matterport.com/try.",,David Gausebeck,Y Combinator,"Sunnyvale, CA",https://www.ycombinator.com/companies/matterport,http://matterport.com/
18,Embark Trucks,W16,AUTONOMOUS-TRUCKING,SAN FRANCISCO,"Embark Technology develops self-driving truck software. 

Embark was the first self-driving truck company to achieve an autonomous coast-to-coast drive, the first to reach 100,000 miles driven on public roads, and the first to open a network of transfer points.

Embark went public on NASDAQ in 2021 and was acquired by Applied Intuition in 2023.",2016,Alex Rodrigues| Brandon Moak| Michael Skupien,Y Combinator,San Francisco,https://www.ycombinator.com/companies/embark-trucks,http://embarktrucks.com/
19,Lucira Health,W15,"HEALTH-TECH, DIAGNOSTICS",EMERYVILLE,"Diassess Inc. is revolutionizing the way infectious diseases are prevented, diagnosed, and monitored by developing the tools necessary to empower people to become knowledgeable about their health. We produce inexpensive, disposable health diagnostic hardware that transforms any smartphone into a portable, real-time health-monitoring device for rapid, accessible, multiplexed analysis of bodily fluids anywhere in the world.",,Debkishore Mitra,Y Combinator,"Emeryville, CA",https://www.ycombinator.com/companies/lucira-health,https://www.lucirahealth.com/
20,Segment,S11,"SAAS, B2B",SAN FRANCISCO,"Segment is one place to collect customer data and send it to your tools for analytics, marketing automation, and raw data access with SQL. Implement all of your event tracking with Segment’s single API instead of wrangling a new API for every new tool or database. Segment's integrations let you send your data to hundreds of tools and databases.",2011,Calvin French-Owen| Ilya Volodarsky,Y Combinator,San Francisco,https://www.ycombinator.com/companies/segment,http://segment.com/
